45.145.43.205:2053#DE [优选高速 141.2ms | 14.58Mbps]
57.129.63.143:2053#DE [优选高速 141.67ms | 19.85Mbps]
94.141.123.232:8443#DE [优选高速 143.09ms | 20.94Mbps]
31.25.88.206:443#DE [优选高速 146.1ms | 32.44Mbps]
64.188.69.46:443#DE [优选高速 148.18ms | 17.41Mbps]
178.238.237.6:443#FR [优选高速 151.09ms | 11.29Mbps]
31.220.89.170:443#FR [优选高速 152.32ms | 14.03Mbps]
46.226.167.47:443#FR [优选高速 156.46ms | 18.48Mbps]
31.59.120.161:2053#FR [优选高速 157.01ms | 11.21Mbps]
38.180.240.91:443#FR [优选高速 157.67ms | 18.14Mbps]
149.104.6.78:8443#HK [优选高速 58.67ms | 12.34Mbps]
47.83.14.42:8443#HK [50.34ms | 7.6Mbps]
47.76.218.163:443#HK [50.56ms | 0.0Mbps]
103.224.80.7:2087#HK [52.73ms | 0.0Mbps]
38.190.210.250:443#HK [64.75ms | 0.0Mbps]
98.70.26.236:443#IN [优选高速 129.0ms | 22.27Mbps]
52.66.200.252:443#IN [优选高速 149.57ms | 21.93Mbps]
20.235.105.146:443#IN [优选高速 165.36ms | 16.18Mbps]
20.235.220.189:443#IN [优选高速 179.81ms | 13.18Mbps]
103.181.177.88:443#IN [优选高速 189.2ms | 17.12Mbps]
13.231.33.243:443#JP [优选高速 62.29ms | 40.76Mbps]
8.219.155.125:443#JP [优选高速 81.53ms | 14.5Mbps]
3.115.100.16:443#JP [优选高速 82.41ms | 22.81Mbps]
8.222.193.153:443#JP [优选高速 85.83ms | 11.47Mbps]
43.165.175.34:443#JP [74.85ms | 0.0Mbps]
3.35.238.2:443#KR [优选高速 96.04ms | 29.65Mbps]
158.180.71.69:443#KR [优选高速 100.14ms | 37.9Mbps]
123.111.169.70:2096#KR [优选高速 109.13ms | 34.34Mbps]
123.111.169.70:2087#KR [优选高速 110.91ms | 10.56Mbps]
123.111.169.70:2083#KR [优选高速 110.99ms | 47.24Mbps]
95.188.72.67:443#RU [优选高速 137.4ms | 17.22Mbps]
31.129.48.222:8443#RU [优选高速 138.69ms | 14.19Mbps]
31.129.49.103:443#RU [优选高速 144.54ms | 20.88Mbps]
212.74.227.162:443#RU [优选高速 146.48ms | 20.53Mbps]
31.129.48.222:2053#RU [优选高速 149.87ms | 17.89Mbps]
149.28.156.182:443#SG [优选高速 212.99ms | 13.94Mbps]
66.42.61.215:443#SG [优选高速 213.89ms | 13.96Mbps]
139.180.143.248:8443#SG [优选高速 216.51ms | 11.52Mbps]
139.180.220.7:443#SG [优选高速 218.0ms | 13.25Mbps]
4.194.113.191:443#SG [72.01ms | 0.0Mbps]
220.135.92.105:2087#TW [优选高速 101.15ms | 30.46Mbps]
103.115.108.45:443#TW [优选高速 156.89ms | 11.0Mbps]
103.137.63.227:8443#TW [188.21ms | 0.0Mbps]
69.40.207.156:443#US [优选高速 155.86ms | 18.09Mbps]
94.183.185.114:443#US [优选高速 157.68ms | 18.83Mbps]
31.58.50.110:2053#US [优选高速 161.66ms | 14.83Mbps]
185.218.16.38:443#US [优选高速 164.75ms | 18.43Mbps]
31.59.136.248:8443#US [优选高速 165.51ms | 13.7Mbps]
