109.61.42.37:443#AE [1258.07ms]
139.185.38.137:2053#AE [1327.84ms]
144.172.88.117:443#AE [1363.86ms]
149.33.19.136:2053#AR [389.17ms]
132.243.203.120:8443#AT [184.49ms]
132.243.203.210:8443#AT [189.51ms]
132.243.203.218:8443#AT [193.23ms]
132.243.203.112:8443#AT [200.97ms]
132.243.203.206:8443#AT [204.06ms]
132.243.203.215:8443#AT [208.3ms]
132.243.203.204:8443#AT [211.76ms]
132.243.203.217:8443#AT [215.96ms]
132.243.203.203:8443#AT [216.41ms]
132.243.203.213:8443#AT [217.45ms]
193.177.221.29:443#AU [165.03ms]
123.51.23.113:443#AU [1298.63ms]
139.180.172.252:443#AU [1316.52ms]
161.33.76.218:2053#AU [1330.46ms]
161.33.76.218:8443#AU [1331.91ms]
104.155.124.198:443#BE [350.72ms]
128.127.180.240:8443#BE [1194.1ms]
128.127.180.240:2053#BE [1265.95ms]
146.19.80.84:8443#BG [201.55ms]
104.152.48.205:8443#BG [251.38ms]
185.203.119.221:2053#BG [280.36ms]
185.148.146.9:443#BG [287.88ms]
104.152.48.205:443#BG [290.66ms]
185.141.61.113:443#BG [293.31ms]
148.253.214.10:443#BG [331.44ms]
185.162.10.111:2053#BG [344.79ms]
132.226.163.224:8443#BR [372.53ms]
132.226.163.224:2053#BR [381.03ms]
146.235.59.153:8443#BR [1375.91ms]
185.179.82.201:443#BY [224.77ms]
185.66.71.149:2053#BY [227.83ms]
150.242.90.205:443#CA [235.25ms]
146.190.255.153:443#CA [252.81ms]
165.227.42.240:443#CA [263.58ms]
155.248.216.138:443#CA [269.71ms]
23.173.104.195:2053#CA [279.4ms]
167.99.183.13:443#CA [288.26ms]
104.223.62.204:443#CA [293.56ms]
158.69.26.209:8443#CA [326.34ms]
172.105.26.26:2053#CA [327.83ms]
158.69.196.206:8443#CA [364.6ms]
103.63.30.73:443#CH [219.49ms]
149.33.15.96:2053#CH [230.01ms]
151.158.1.228:443#CH [254.84ms]
103.63.30.230:443#CH [255.09ms]
132.243.162.182:8443#CH [271.94ms]
132.243.161.155:2053#CH [276.69ms]
167.17.183.183:2083#CH [284.78ms]
167.17.183.184:443#CH [294.72ms]
194.156.102.142:443#CH [297.84ms]
140.238.208.210:443#CH [1210.18ms]
132.243.16.201:2053#CZ [297.63ms]
188.127.247.34:443#CZ [332.38ms]
150.241.121.190:443#CZ [354.13ms]
188.127.247.6:443#CZ [360.34ms]
109.172.9.38:443#CZ [1339.41ms]
109.172.9.242:443#CZ [1375.49ms]
176.74.218.168:8443#CZ [1386.69ms]
109.172.9.107:2087#CZ [1397.11ms]
109.172.9.100:443#CZ [1434.99ms]
193.23.219.137:2087#DE [150.29ms]
144.31.94.105:8443#DE [157.95ms]
172.86.93.55:443#DE [158.06ms]
131.143.125.214:8443#DE [159.52ms]
144.31.85.72:443#DE [159.53ms]
144.31.85.206:443#DE [165.61ms]
193.23.218.29:443#DE [166.13ms]
150.241.95.16:443#DE [166.37ms]
150.241.78.53:443#DE [167.7ms]
144.31.84.156:443#DE [170.76ms]
193.181.209.232:8443#DK [175.32ms]
193.180.209.21:443#DK [1227.82ms]
130.94.116.44:443#EC [290.7ms]
150.241.101.102:8443#EE [224.26ms]
150.241.74.98:8443#EE [265.11ms]
150.241.74.58:443#EE [267.05ms]
185.23.236.202:443#EE [308.46ms]
185.174.135.12:443#EE [311.64ms]
185.36.140.105:443#EE [368.98ms]
185.36.140.228:2053#EE [426.71ms]
185.36.140.244:443#EE [436.19ms]
185.36.141.204:443#EE [440.54ms]
185.36.141.19:443#EE [444.7ms]
172.233.116.56:2053#ES [284.45ms]
193.17.183.6:8443#ES [306.6ms]
103.45.245.208:8443#ES [316.19ms]
103.45.245.208:2053#ES [329.98ms]
193.17.183.232:443#ES [335.76ms]
185.232.205.152:443#ES [340.66ms]
193.17.183.204:8443#ES [355.47ms]
185.114.72.31:8443#ES [1284.52ms]
31.57.190.84:443#ES [1323.0ms]
193.17.183.157:2053#ES [1337.85ms]
194.67.200.16:443#FI [207.3ms]
185.104.250.167:443#FI [211.63ms]
185.242.247.178:8443#FI [216.62ms]
103.85.114.197:443#FI [216.64ms]
185.231.206.135:443#FI [217.2ms]
185.105.118.208:443#FI [217.39ms]
185.231.206.196:8443#FI [218.32ms]
185.254.158.104:443#FI [221.43ms]
193.124.183.69:443#FI [229.19ms]
185.17.2.223:8443#FI [242.64ms]
161.97.170.203:8443#FR [166.82ms]
161.97.85.123:443#FR [170.79ms]
104.252.30.225:2053#FR [174.41ms]
104.252.30.225:8443#FR [197.01ms]
172.239.28.107:2053#FR [204.24ms]
152.228.135.195:8443#FR [206.75ms]
152.228.135.195:2053#FR [207.87ms]
161.97.170.203:443#FR [208.61ms]
161.97.143.99:8443#FR [209.53ms]
152.228.134.97:2053#FR [211.85ms]
212.113.119.70:443#GB [176.2ms]
213.108.23.204:443#GB [177.15ms]
213.165.40.187:443#GB [184.36ms]
18.170.77.148:443#GB [203.49ms]
185.137.223.71:443#GB [213.19ms]
193.188.20.224:443#GB [232.03ms]
185.246.217.136:8443#GB [235.85ms]
146.19.230.133:443#GB [241.08ms]
132.145.29.208:443#GB [241.46ms]
185.65.206.223:8443#GB [253.24ms]
103.224.80.7:2087#HK [64.41ms]
103.192.179.132:443#HK [67.97ms]
103.43.191.121:8443#HK [84.26ms]
103.39.78.118:8443#HK [199.86ms]
143.20.204.5:443#HK [273.57ms]
156.239.245.134:443#HK [330.42ms]
103.46.142.56:443#HK [334.8ms]
217.60.248.3:2053#HK [345.87ms]
2.56.91.49:2053#HK [355.51ms]
2.56.91.49:8443#HK [357.64ms]
185.65.68.238:443#HU [252.54ms]
172.232.226.233:443#ID [377.01ms]
156.244.1.250:8443#ID [379.76ms]
103.181.177.88:443#IN [225.18ms]
143.110.247.61:443#IN [232.59ms]
143.110.247.61:2053#IN [274.24ms]
143.110.184.105:443#IN [283.0ms]
143.110.247.61:2096#IN [286.18ms]
143.110.247.61:8443#IN [298.09ms]
129.154.251.13:443#IN [1259.26ms]
134.209.148.128:443#IN [1339.74ms]
151.241.215.148:443#IT [242.29ms]
172.238.238.203:2053#IT [248.87ms]
132.243.205.87:8443#IT [1201.34ms]
132.243.205.75:8443#IT [1213.86ms]
132.243.205.93:8443#IT [1255.75ms]
132.243.205.57:8443#IT [1256.07ms]
132.243.205.69:8443#IT [1259.23ms]
132.243.205.81:8443#IT [1261.26ms]
113.30.151.151:8443#IT [1284.39ms]
132.243.205.99:8443#IT [1301.07ms]
103.201.130.54:8443#JP [118.05ms]
158.51.109.250:443#JP [121.27ms]
103.201.130.164:8443#JP [125.72ms]
158.51.110.61:8443#JP [127.81ms]
149.62.44.146:443#JP [129.6ms]
103.201.131.96:8443#JP [130.44ms]
150.230.212.247:443#JP [135.0ms]
103.200.30.13:443#JP [138.14ms]
132.145.127.203:2053#JP [138.55ms]
151.242.165.76:443#JP [144.95ms]
188.240.213.98:2053#KG [248.62ms]
158.180.72.60:443#KR [103.48ms]
156.59.181.101:443#KR [185.03ms]
156.246.94.243:443#KR [285.89ms]
151.245.106.81:443#KR [316.8ms]
158.247.246.18:443#KR [358.3ms]
129.154.50.159:443#KR [1103.01ms]
140.238.17.157:443#KR [1258.83ms]
104.238.24.42:443#KZ [282.64ms]
104.238.24.99:443#KZ [287.09ms]
104.238.24.164:443#KZ [287.4ms]
104.238.24.247:443#KZ [287.82ms]
104.238.24.139:8443#KZ [289.23ms]
185.253.8.65:2053#KZ [293.21ms]
195.58.52.52:2053#KZ [359.62ms]
176.12.79.0:443#KZ [1459.76ms]
103.113.69.63:443#LT [227.19ms]
103.231.72.240:443#LT [304.65ms]
103.231.72.4:443#LT [305.02ms]
103.231.72.6:8443#LT [312.68ms]
103.231.72.6:2053#LT [341.91ms]
130.12.171.173:443#LT [1260.87ms]
45.12.136.62:2053#LT [1285.65ms]
146.19.84.90:2053#LV [230.51ms]
146.19.84.236:2053#LV [236.54ms]
150.241.75.45:443#LV [265.0ms]
217.60.2.248:8443#LV [289.46ms]
185.82.126.206:2053#LV [291.14ms]
195.135.254.95:443#LV [314.49ms]
46.32.185.5:443#LV [1286.23ms]
13.140.16.117:443#LV [1293.18ms]
46.32.186.25:443#LV [1299.01ms]
46.32.186.176:8443#LV [1317.93ms]
176.123.1.97:443#MD [1253.5ms]
193.36.38.17:443#MD [1348.49ms]
131.196.253.141:443#MX [340.65ms]
131.196.254.151:443#MX [359.89ms]
131.196.254.203:443#MX [369.52ms]
131.196.254.84:443#MX [378.18ms]
131.196.254.211:443#MX [414.74ms]
185.128.227.27:443#MY [221.9ms]
185.233.184.13:443#NL [185.4ms]
163.5.229.173:8443#NL [188.61ms]
185.138.88.76:443#NL [190.14ms]
185.130.224.236:443#NL [199.78ms]
185.18.52.254:2053#NL [203.93ms]
157.22.179.183:443#NL [204.84ms]
146.103.33.57:443#NL [206.41ms]
157.22.182.229:443#NL [213.28ms]
157.22.179.184:443#NL [213.38ms]
185.133.174.38:443#NL [215.29ms]
148.253.212.243:8443#PL [191.15ms]
148.253.212.61:443#PL [205.83ms]
178.17.59.103:2053#PL [218.87ms]
148.253.212.110:8443#PL [233.41ms]
